ACC:TESTACC,SAXVSM,BOSS,Logistic,NB,SVMQ,MSM,SVML,RandF,MLP,RotF,DTD_C,TSF,NN,DTW,ERP,BOP,BayesNet,ShapeletTransformClassifier,WDTW,LearnShapelets,C45,NN_CID,DD_DTW,FastShapelets,TWE,LCSS
AvgTESTACCOverDsets:,0.8461538461538461,0.8307692307692308,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8,0.8,0.7846153846153846,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7538461538461538,0.7538461538461538,0.7538461538461538,0.7538461538461538,0.7384615384615385,0.7230769230769231,0.6615384615384615,0.6615384615384615,0.6461538461538462,0.6307692307692307,0.6307692307692307,0.6307692307692307,0.6153846153846154,0.49230769230769234
AvgTESTACCRankOverDsets:,1.0,2.0,4.5,4.5,4.5,4.5,7.5,7.5,9.0,11.0,11.0,11.0,14.5,14.5,14.5,14.5,17.0,18.0,19.5,19.5,21.0,23.0,23.0,23.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,ShapeletTransformClassifier,MSM,WDTW,RotF,BOSS,DTW,LCSS,TSF,NN,FastShapelets,BOP,MLP,NB,BayesNet,SAXVSM,LearnShapelets,ERP,NN_CID,RandF,Logistic,SVMQ,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-5791.114852,-818.010558,-342.545204,-306.772984,-280.412404,-244.119921,-189.473281,-137.084173,-76.585932,-27.43035,-16.450494,-3.440831,-3.305308,-1.958789,-1.7494589999999999,-1.24464,-0.8942,-0.788405,-0.729592,-0.719178,-0.449535,-0.423282,-0.190166,-0.182149,-0.105109,-0.01055
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,MLP,TSF,Logistic,RandF,BayesNet,C45,NB,SVML,SVMQ,NN,NN_CID,DD_DTW,DTD_C,SAXVSM,FastShapelets,BOP,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-370512.057824,-113046.973868,-52594.319333,-17669.346402,-15348.683102,-2579.867849,-2410.188379,-1788.074259,-1619.164388,-1063.454602,-494.342258,-313.11153,-0.820244,-0.476945,-0.293639,-0.265406,-0.154699,-0.120041,-0.105628,-0.035478,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,NN_CID,ERP,C45,BayesNet,Logistic,NN,DTW,WDTW,SVMQ,SVML,RandF,TWE,BOP,SAXVSM,BOSS,MLP,MSM,LCSS,DD_DTW,DTD_C,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,20.6482,20.663024,22.90384,24.260488,31.439648,33.04464,37.546192,38.72388,38.72388,59.651072,62.849056,123.619488,123.619488,153.223824,156.802456,158.669152,187.407648,372.625664,483.875128,493.417584,522.003752,522.003752,693.986976
AvgTESTMaxMemoryRankOverDsets:,2.0,2.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.5,11.5,13.0,14.0,15.5,15.5,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,SVML,SVMQ,Logistic,RandF,NN_CID,ERP,LearnShapelets,SAXVSM,BayesNet,NB,MLP,BOP,FastShapelets,NN,TSF,LCSS,DTW,BOSS,RotF,WDTW,MSM,ShapeletTransformClassifier,TWE,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.01055,0.105109,0.182149,0.190166,0.423282,0.449535,0.719178,0.729592,0.788405,0.8942,1.24464,1.7494589999999999,1.958789,3.305308,3.440831,16.450494,27.43035,76.585932,137.084173,189.473281,244.119921,280.412404,306.772984,342.545204,818.010558,5791.114852
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,LearnShapelets,BOP,FastShapelets,SAXVSM,DTD_C,DD_DTW,NN_CID,NN,SVMQ,SVML,NB,C45,BayesNet,RandF,Logistic,TSF,MLP,RotF,BOSS,ShapeletTransformClassifier
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.035478,0.105628,0.120041,0.154699,0.265406,0.293639,0.476945,0.820244,313.11153,494.342258,1063.454602,1619.164388,1788.074259,2410.188379,2579.867849,15348.683102,17669.346402,52594.319333,113046.973868,370512.057824
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

