ACC:TESTACC,ShapeletTransformClassifier,SAXVSM,DD_DTW,BOSS,TWE,LearnShapelets,WDTW,DTD_C,BOP,MSM,RotF,NN_CID,TSF,C45,RandF,BayesNet,NB,DTW,ERP,NN,SVMQ,SVML,MLP,FastShapelets,Logistic,LCSS
AvgTESTACCOverDsets:,0.8866666666666667,0.7533333333333333,0.7466666666666667,0.7333333333333333,0.7,0.6933333333333334,0.6466666666666666,0.6,0.5733333333333334,0.5666666666666667,0.54,0.54,0.5266666666666666,0.5133333333333333,0.5133333333333333,0.48,0.4666666666666667,0.46,0.46,0.4066666666666667,0.4,0.3933333333333333,0.3933333333333333,0.3333333333333333,0.26666666666666666,0.22
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.5,11.5,13.0,14.5,14.5,16.0,17.0,18.5,18.5,20.0,21.0,22.5,22.5,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,WDTW,ShapeletTransformClassifier,RotF,DTW,LCSS,BOSS,TSF,FastShapelets,MLP,LearnShapelets,ERP,NB,NN_CID,NN,SAXVSM,BOP,SVMQ,BayesNet,RandF,SVML,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-12527.949565,-2648.3303,-1111.936451,-591.560229,-393.069866,-371.035346,-257.639548,-123.775687,-75.956114,-43.393073,-12.959164,-4.734313,-2.700812,-1.343248,-1.295714,-0.835921,-0.821151,-0.785766,-0.762821,-0.598396,-0.350749,-0.214055,-0.163171,-0.037958,-0.015093,-0.002584
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,BOSS,ShapeletTransformClassifier,RotF,MLP,TSF,Logistic,RandF,BayesNet,C45,NB,SVML,SVMQ,FastShapelets,SAXVSM,NN_CID,NN,DD_DTW,BOP,DTD_C,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-935658.914427,-397254.216205,-116448.155656,-47622.802357,-26793.33269,-4174.506258,-1993.531793,-1972.642178,-1919.565598,-1332.894008,-563.304304,-246.252901,-1.601823,-0.788092,-0.331569,-0.267308,-0.258031,-0.213834,-0.204256,-0.104655,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,DTW,NN_CID,NN,C45,BayesNet,RandF,WDTW,Logistic,SVML,SVMQ,TWE,LearnShapelets,MLP,MSM,LCSS,ERP,DD_DTW,RotF,SAXVSM,BOSS,DTD_C,TSF,FastShapelets,ShapeletTransformClassifier,BOP
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,48.700808,54.946928,54.946928,69.324864,79.195,86.211368,86.211368,86.211368,217.594936,288.663496,335.99028,341.856776,484.28996,585.737736,591.668256,786.64364,787.286624,787.286624,810.644976,815.96828,1083.39188,1083.39188,1083.39188
AvgTESTMaxMemoryRankOverDsets:,2.0,2.0,2.0,4.0,5.5,5.5,7.0,8.0,10.0,10.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.5,20.5,22.0,23.0,25.0,25.0,25.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,Logistic,SVML,RandF,BayesNet,SVMQ,BOP,SAXVSM,NN,NN_CID,NB,ERP,LearnShapelets,MLP,FastShapelets,TSF,BOSS,LCSS,DTW,RotF,ShapeletTransformClassifier,WDTW,MSM,TWE,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.002584,0.015093,0.037958,0.163171,0.214055,0.350749,0.598396,0.762821,0.785766,0.821151,0.835921,1.295714,1.343248,2.700812,4.734313,12.959164,43.393073,75.956114,123.775687,257.639548,371.035346,393.069866,591.560229,1111.936451,2648.3303,12527.949565
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,LearnShapelets,DTD_C,BOP,DD_DTW,NN,NN_CID,SAXVSM,FastShapelets,SVMQ,SVML,NB,C45,BayesNet,RandF,Logistic,TSF,MLP,RotF,ShapeletTransformClassifier,BOSS
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.104655,0.204256,0.213834,0.258031,0.267308,0.331569,0.788092,1.601823,246.252901,563.304304,1332.894008,1919.565598,1972.642178,1993.531793,4174.506258,26793.33269,47622.802357,116448.155656,397254.216205,935658.914427
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

