ACC:TESTACC,LearnShapelets,NN,BayesNet,NB,SVML,MLP,MSM,DD_DTW,WDTW,TSF,BOP,RotF,RandF,DTW,ERP,DTD_C,ShapeletTransformClassifier,SAXVSM,BOSS,C45,SVMQ,TWE,NN_CID,FastShapelets,Logistic,LCSS
AvgTESTACCOverDsets:,0.7297297297297297,0.7117117117117117,0.7027027027027027,0.6846846846846847,0.6846846846846847,0.6846846846846847,0.6846846846846847,0.6846846846846847,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6576576576576577,0.6576576576576577,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.6396396396396397,0.6396396396396397,0.6306306306306306,0.6216216216216216,0.6036036036036037,0.5765765765765766,0.22522522522522523
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,6.0,6.0,6.0,6.0,6.0,10.0,10.0,10.0,12.5,12.5,16.5,16.5,16.5,16.5,16.5,16.5,20.5,20.5,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,ShapeletTransformClassifier,DTD_C,DD_DTW,TWE,MSM,RotF,WDTW,BOSS,DTW,FastShapelets,TSF,LCSS,NN,ERP,SVMQ,NN_CID,RandF,BOP,NB,LearnShapelets,BayesNet,SVML,SAXVSM,MLP,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-437.261689,-374.893843,-109.883834,-45.981417,-44.947342,-22.985857,-11.086032,-8.044429,-3.866867,-3.109771,-2.899395,-2.022399,-0.907489,-0.735675,-0.731077,-0.58938,-0.571712,-0.560063,-0.264884,-0.239086,-0.18016,-0.149137,-0.122297,-0.081786,-0.05638,-0.011692
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,TSF,BOSS,RandF,Logistic,MLP,C45,BayesNet,NB,SVMQ,SVML,NN,DD_DTW,NN_CID,DTD_C,SAXVSM,BOP,LearnShapelets,FastShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-423855.014627,-17132.433906,-11283.241923,-9926.64093,-3099.318617,-1928.287669,-1789.057891,-1529.345175,-1513.817828,-1405.07634,-445.516334,-292.953964,-0.495102,-0.256132,-0.248448,-0.20498,-0.072502,-0.018452,-0.013065,-0.006839,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,BayesNet,DTW,TWE,NN_CID,ERP,DTD_C,Logistic,NN,MLP,WDTW,MSM,SVML,SVMQ,RandF,BOP,LCSS,BOSS,SAXVSM,DD_DTW,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.779024,21.548952,29.117608,30.632888,33.178384,35.704464,35.704464,35.704464,36.862392,42.790136,43.914,45.634056,47.415296,114.65188,124.052224,124.052224,124.052224,969.212184
AvgTESTMaxMemoryRankOverDsets:,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,9.0,10.0,11.0,12.0,13.0,15.0,15.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0,24.0,24.0,24.0,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,Logistic,MLP,SAXVSM,SVML,BayesNet,LearnShapelets,NB,BOP,RandF,NN_CID,SVMQ,ERP,NN,LCSS,TSF,FastShapelets,DTW,BOSS,WDTW,RotF,MSM,TWE,DD_DTW,DTD_C,ShapeletTransformClassifier
AvgTESTAvgPredTimesOverDsets:,0.011692,0.05638,0.081786,0.122297,0.149137,0.18016,0.239086,0.264884,0.560063,0.571712,0.58938,0.731077,0.735675,0.907489,2.022399,2.899395,3.109771,3.866867,8.044429,11.086032,22.985857,44.947342,45.981417,109.883834,374.893843,437.261689
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,FastShapelets,LearnShapelets,BOP,SAXVSM,DTD_C,NN_CID,DD_DTW,NN,SVML,SVMQ,NB,BayesNet,C45,MLP,Logistic,RandF,BOSS,TSF,RotF,ShapeletTransformClassifier
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.006839,0.013065,0.018452,0.072502,0.20498,0.248448,0.256132,0.495102,292.953964,445.516334,1405.07634,1513.817828,1529.345175,1789.057891,1928.287669,3099.318617,9926.64093,11283.241923,17132.433906,423855.014627
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

