ACC:TESTACC,MLP,DTD_C,BOSS,NN,SAXVSM,DTW,ERP,NB,RandF,TSF,RotF,DD_DTW,ShapeletTransformClassifier,BOP,BayesNet,SVMQ,MSM,SVML,NN_CID,WDTW,LearnShapelets,C45,TWE,FastShapelets,Logistic,LCSS
AvgTESTACCOverDsets:,0.6216216216216216,0.6126126126126126,0.6126126126126126,0.6036036036036037,0.5945945945945946,0.5855855855855856,0.5855855855855856,0.5765765765765766,0.5765765765765766,0.5765765765765766,0.5675675675675675,0.5675675675675675,0.5585585585585585,0.5585585585585585,0.5495495495495496,0.5495495495495496,0.5495495495495496,0.5405405405405406,0.5405405405405406,0.5315315315315315,0.5315315315315315,0.5225225225225225,0.5225225225225225,0.5045045045045045,0.4864864864864865,0.2972972972972973
AvgTESTACCRankOverDsets:,1.0,2.5,2.5,4.0,5.0,6.5,6.5,9.0,9.0,9.0,11.5,11.5,13.5,13.5,16.0,16.0,16.0,18.5,18.5,20.5,20.5,22.5,22.5,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,ShapeletTransformClassifier,DTD_C,DD_DTW,MSM,TWE,RotF,WDTW,FastShapelets,BOSS,DTW,TSF,LCSS,ERP,SVMQ,NN_CID,RandF,LearnShapelets,NB,SVML,BayesNet,NN,MLP,BOP,Logistic,SAXVSM,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-480.448746,-309.165827,-68.443996,-49.522113,-44.866583,-24.049054,-23.043824,-7.278143,-6.410335,-4.21562,-2.454053,-2.015433,-0.976151,-0.939689,-0.610837,-0.543887,-0.479817,-0.446846,-0.343497,-0.293294,-0.237137,-0.096076,-0.061152,-0.06114,-0.039198,-0.033969
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,TSF,BOSS,RandF,Logistic,BayesNet,C45,MLP,NB,SVMQ,SVML,NN,NN_CID,DD_DTW,DTD_C,SAXVSM,LearnShapelets,FastShapelets,BOP,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-465980.589081,-22891.015364,-15329.906249,-9989.309217,-3242.264603,-2729.474565,-1896.712447,-1889.032972,-1884.872018,-1672.649051,-751.035728,-700.424867,-0.506543,-0.295691,-0.242292,-0.18878,-0.057967,-0.030136,-0.013728,-0.012413,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,WDTW,DD_DTW,DTD_C,C45,BayesNet,Logistic,SVML,NN,DTW,MSM,MLP,TWE,SVMQ,RandF,BOP,NN_CID,LCSS,ERP,BOSS,SAXVSM,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,16.276056,16.276056,20.119504,20.119504,23.792632,26.737352,30.77612,30.820792,33.741984,36.378936,36.378936,39.131448,40.37788,41.73304,46.518352,46.701648,47.211472,120.906112,123.351616,123.351616,128.72868,1042.634608
AvgTESTMaxMemoryRankOverDsets:,2.5,2.5,2.5,2.5,5.5,5.5,7.5,7.5,9.0,10.0,11.0,12.0,13.0,14.5,14.5,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.5,23.5,25.0,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,SAXVSM,Logistic,BOP,MLP,NN,BayesNet,SVML,NB,LearnShapelets,RandF,NN_CID,SVMQ,ERP,LCSS,TSF,DTW,BOSS,FastShapelets,WDTW,RotF,TWE,MSM,DD_DTW,DTD_C,ShapeletTransformClassifier
AvgTESTAvgPredTimesOverDsets:,0.033969,0.039198,0.06114,0.061152,0.096076,0.237137,0.293294,0.343497,0.446846,0.479817,0.543887,0.610837,0.939689,0.976151,2.015433,2.454053,4.21562,6.410335,7.278143,23.043824,24.049054,44.866583,49.522113,68.443996,309.165827,480.448746
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,BOP,FastShapelets,LearnShapelets,SAXVSM,DTD_C,DD_DTW,NN_CID,NN,SVML,SVMQ,NB,MLP,C45,BayesNet,Logistic,RandF,BOSS,TSF,RotF,ShapeletTransformClassifier
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.012413,0.013728,0.030136,0.057967,0.18878,0.242292,0.295691,0.506543,700.424867,751.035728,1672.649051,1884.872018,1889.032972,1896.712447,2729.474565,3242.264603,9989.309217,15329.906249,22891.015364,465980.589081
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

